Textbox25,Textbox26
NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 7/25/2025 8:30:15 PM,"NatureServe Global (G) and State (S) Conservation Status Rank List - NatureServe. 2025. NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. Available https://explorer.natureserve.org/. (Accessed: July 9, 2025). This information is provided by NatureServe (www.natureserve.org) and its network of natural heritage member programs, a leading source of information about rare and endangered species, and threatened ecosystems."

Textbox46,Category1,CategoryGroup,Textbox51,PreferredCommonNames1,OccwTag,Abundance,NatwTags,NPSTags,ParkTags,RefCount,ObsCount,VouCount,ExternalLinkCount,TESS,StateStatuses,Ozone,GRank,SRank1,Textbox52,Textbox1
,Birds,Accipitriformes/Accipitridae,Buteo lineatus,Red-shouldered Hawk,Present,Uncommon,Native,Vagrant,,2,15,0,0,SC,,,G5,CA: SNRB,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Buteo regalis,Ferruginous Hawk,Present,Occasional,Native,Vagrant,,1,1,0,0,RT,CA: WL,,G4,CA: S3S4,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Buteo swainsoni,Swainson's Hawk,Present,Occasional,Native,Migratory,,1,4,0,0,SC,CA: ST,,G5,CA: S4,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Circus cyaneus,Hen Harrier,Present,Rare,Native,Migratory,,2,43,0,0,SC,,,,,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Elanus leucurus,white-tailed kite,Present,Occasional,Native,Migratory,,1,2,0,0,SC,CA: FP,,G5,CA: S3S4,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Haliaeetus leucocephalus,Bald Eagle,Present,Rare,Native,Migratory,,2,108,0,0,DM,"CA: FP, S, SE",,G5,CA: S3,- ,Report Species Count: 2086
,Birds,Accipitriformes/Cathartidae,Cathartes aura,Turkey Vulture,Present,Rare,Native,Migratory,,2,31,2,0,SC,,,G5,CA: SNR,- ,Report Species Count: 2086
,Birds,Accipitriformes/Pandionidae,Pandion haliaetus,osprey,Present,Rare,Native,Migratory,,2,36,0,0,SC,"CA: S, WL",,G5,CA: S4,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Aix sponsa,Wood Duck,Present,Rare,Native,Vagrant,,1,12,0,0,SU,,,G5,CA: SNR,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas acuta,Northern Pintail,Present,Occasional,Native,Migratory,,1,5,0,0,,,,G5,"CA: SNRB,SNRN",- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas americana,American Wigeon,Present,Occasional,Native,Migratory,,1,1,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas clypeata,Northern Shoveler,Present,Occasional,Native,Migratory,,1,6,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas crecca,green-winged teal,Present,Rare,Native,Vagrant,,1,7,0,0,SU,,,G5,"CA: SNRB,SNRN",- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas cyanoptera,Cinnamon Teal,Present,Rare,Native,Migratory,,1,16,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas discors,Blue-winged Teal,Present,Rare,Native,Breeder,,0,3,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas platyrhynchos,Mallard,Present,Uncommon,Native,Breeder,,3,171,0,0,SU,,,G5,CA: SNR,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Anas strepera,Gadwall,Present,Occasional,Native,Migratory,,1,2,0,0,,,,,,- ,Report Species Count: 2086
,Birds,Anseriformes/Anatidae,Aythya affinis,Lesser Scaup,Present,Occasional,Native,Migratory,,1,8,0,0,SC,,,G5,"CA: SNRB,SNRN",- ,Report Species Count: 2086
